 Epoch  |  Train loss  |  Valid loss  |  Train / Val  |  Valid acc  |  Dur
--------|--------------|--------------|---------------|-------------|-------
     1  |    0.929325  |    0.665702  |     1.396008  |     74.74%  |  2.8s
     2  |    0.709089  |    0.625386  |     1.133843  |     76.25%  |  2.7s
     3  |    0.669282  |    0.598719  |     1.117858  |     77.01%  |  2.7s
     4  |    0.645649  |    0.587199  |     1.099540  |     77.23%  |  2.7s
     5  |    0.626968  |    0.575154  |     1.090087  |     77.82%  |  2.7s
     6  |    0.613072  |    0.569872  |     1.075807  |     78.00%  |  2.7s
     7  |    0.602199  |    0.564073  |     1.067590  |     78.22%  |  2.7s
     8  |    0.593115  |    0.558305  |     1.062350  |     78.28%  |  2.7s
     9  |    0.585927  |    0.552918  |     1.059700  |     78.58%  |  2.7s
    10  |    0.580625  |    0.548152  |     1.059241  |     78.66%  |  2.7s
    11  |    0.575209  |    0.545734  |     1.054010  |     78.91%  |  2.7s
    12  |    0.569560  |    0.544230  |     1.046543  |     79.16%  |  2.7s
    13  |    0.562321  |    0.539785  |     1.041750  |     78.88%  |  2.7s
    14  |    0.556116  |    0.535253  |     1.038979  |     79.09%  |  2.7s
    15  |    0.551451  |    0.536801  |     1.027292  |     78.96%  |  2.7s
    16  |    0.549564  |    0.533398  |     1.030308  |     79.09%  |  2.7s
    17  |    0.546509  |    0.534071  |     1.023288  |     79.27%  |  2.7s
    18  |    0.541550  |    0.531274  |     1.019343  |     79.42%  |  2.7s
    19  |    0.539765  |    0.527863  |     1.022548  |     79.47%  |  2.7s
    20  |    0.536480  |    0.526579  |     1.018802  |     79.35%  |  2.7s
    21  |    0.536641  |    0.523322  |     1.025450  |     79.58%  |  2.7s
    22  |    0.532547  |    0.524419  |     1.015498  |     79.55%  |  2.7s
    23  |    0.529907  |    0.520431  |     1.018208  |     79.42%  |  2.7s
    24  |    0.525328  |    0.521595  |     1.007156  |     79.57%  |  2.7s
    25  |    0.520961  |    0.517944  |     1.005826  |     79.66%  |  2.7s
    26  |    0.520819  |    0.519593  |     1.002361  |     79.68%  |  2.7s
    27  |    0.516917  |    0.515322  |     1.003095  |     79.62%  |  2.7s
    28  |    0.515751  |    0.516606  |     0.998346  |     79.75%  |  2.7s
    29  |    0.517117  |    0.519729  |     0.994974  |     79.72%  |  2.7s
    30  |    0.511946  |    0.515682  |     0.992756  |     79.78%  |  2.7s
    31  |    0.512692  |    0.517196  |     0.991290  |     79.94%  |  2.7s
    32  |    0.511545  |    0.512847  |     0.997462  |     80.21%  |  2.7s
    33  |    0.506056  |    0.510710  |     0.990888  |     80.19%  |  2.7s
    34  |    0.507195  |    0.511306  |     0.991960  |     80.20%  |  2.7s
    35  |    0.502979  |    0.512451  |     0.981516  |     80.01%  |  2.7s
    36  |    0.506101  |    0.510575  |     0.991236  |     80.01%  |  2.7s
    37  |    0.502028  |    0.509092  |     0.986125  |     80.12%  |  2.7s
    38  |    0.500989  |    0.509581  |     0.983138  |     80.21%  |  2.7s
    39  |    0.500772  |    0.509356  |     0.983146  |     79.89%  |  2.7s
    40  |    0.495530  |    0.510542  |     0.970596  |     79.96%  |  2.8s
    41  |    0.493169  |    0.507024  |     0.972672  |     80.26%  |  2.8s
